Dates,Raw Turbulence,Turbulence,Recession
date,number,number,number
2001-04-02,4.996629825791464,6.324723354286299,100
2001-04-08,6.041059988185478,6.308802552896866,100
2001-04-16,6.238729498821476,6.304869654574392,100
2001-04-23,3.961986095358945,6.173373704506665,100
2001-04-30,4.320108837492011,6.069357940062598,100
2001-05-07,4.389957326189764,5.9751004263261995,100
2001-05-14,5.9375550286506655,5.972993165076021,100
2001-05-21,5.36423151669455,5.938825999147586,100
2001-05-28,4.563478433587642,5.861633671728974,100
2001-06-04,3.3167881278229085,5.718802466458317,100
2001-06-11,5.872275473677727,5.727416244473313,100
2001-06-18,4.909531337339028,5.681511891913133,100
2001-06-25,5.081578474426992,5.647840216511503,100
2001-07-02,4.18429642543542,5.565697815316918,100
2001-07-09,5.196594423054563,5.5449816337346745,100
2001-07-16,4.208943623514055,5.46999558212766,100
2001-07-23,3.313842604812995,5.3489800143124615,100
2001-07-30,3.531390349239995,5.246966545097619,100
2001-08-06,4.720269374420839,5.217405304384778,100
2001-08-13,4.251607513846976,5.163199239580343,100
2001-08-20,4.313997566675725,5.115537212016715,100
2001-08-27,3.815863731547171,5.042592144635987,100
2001-09-03,4.732392512335149,5.025181977067216,100
2001-09-06,13.239626324391052,5.486223311998744,100
2001-09-17,14.697343312609984,6.003203753004449,100
2001-09-24,8.581078654701926,6.147888753682832,100
2001-10-01,6.0622280911520665,6.143080990122151,100
2001-10-08,4.148023490001794,6.031107016688353,100
2001-10-15,3.3039673661558173,5.878044429389209,100
2001-10-22,4.818498065091901,5.818576661447409,100
2001-10-29,7.362318598617059,5.90522023871315,100
2001-11-05,5.154186906180015,5.863067976725769,0
2001-11-12,7.398165471938376,5.949226378745188,0
2001-11-19,3.0100738852439233,5.784264424914115,0
2001-11-26,4.550515125827665,5.715019397524409,0
2001-12-03,5.0949640624402885,5.68021836566743,0
2001-12-10,3.6977811728630785,5.568952715655911,0
2001-12-17,3.6523056464391104,5.461379581549501,0
